UF;ENTE;NR CRP;DATA DE EMISSÃO;DATA DE VALIDADE;CRP JUDICIAL;TIPO DE REGIME;SITUAÇÃO DO CRP
PE;Rio Formoso;982537-184381;01/04/2020;28/09/2020;SIM;RGPS;VÁLIDO
PE;Sairé;982539-188652;29/08/2020;25/02/2021;NÃO;RGPS;VÁLIDO
PE;Salgadinho;982541-184388;01/04/2020;28/09/2020;SIM;RPPS;VÁLIDO
PE;Salgueiro;982543-186552;11/06/2020;08/12/2020;SIM;RPPS;VÁLIDO
PE;Saloá;982545-186881;22/06/2020;19/12/2020;NÃO;RPPS;VÁLIDO
PE;Sanharó;982547-188078;07/08/2020;03/02/2021;NÃO;RGPS;VÁLIDO
PE;Santa Cruz;982297-186903;23/06/2020;20/12/2020;NÃO;RPPS;VÁLIDO
PE;Santa Cruz da Baixa Verde;982639-188679;30/08/2020;26/02/2021;SIM;RPPS;VÁLIDO
PE;Santa Cruz do Capibaribe;982549-186116;26/05/2020;22/11/2020;NÃO;RPPS;VÁLIDO
PE;Santa Filomena;980556-186692;15/06/2020;12/12/2020;SIM;RPPS;VÁLIDO
PE;Santa Maria da Boa Vista;982551-188706;30/08/2020;26/02/2021;SIM;RPPS;VÁLIDO
PE;Santa Maria do Cambucá;982553-185630;06/05/2020;02/11/2020;NÃO;RGPS;VÁLIDO
PE;Santa Terezinha;982555-186387;02/06/2020;29/11/2020;SIM;RPPS;VÁLIDO
PE;São Benedito do Sul;982557-184132;26/03/2020;22/09/2020;NÃO;RPPS;VÁLIDO
PE;São Bento do Una;982559-187480;14/07/2020;10/01/2021;NÃO;RPPS;VÁLIDO
PE;São Caitano;982561-184849;03/04/2020;30/09/2020;NÃO;RGPS;VÁLIDO
PE;São João;982563-186908;23/06/2020;20/12/2020;SIM;RPPS;VÁLIDO
PE;São Joaquim do Monte;982565-188413;19/08/2020;15/02/2021;NÃO;RGPS;VÁLIDO
PE;São José da Coroa Grande;982567-161495;29/12/2017;27/06/2018;SIM;RPPS;VENCIDO
PE;São José do Belmonte;982569-184775;03/04/2020;30/09/2020;SIM;RPPS;VÁLIDO
PE;São José do Egito;982571-187871;03/08/2020;30/01/2021;SIM;RPPS;VÁLIDO
PE;São Lourenço da Mata;982573-183785;10/03/2020;06/09/2020;SIM;RPPS;VENCIDO
PE;São Vicente Ferrer;982575-185393;28/04/2020;25/10/2020;SIM;RPPS;VÁLIDO
PE;Serra Talhada;982577-185957;19/05/2020;15/11/2020;SIM;RPPS;VÁLIDO
